Segment,Total_Revenue_2024,Total_Expenses_2024,Annual_Surplus_Deficit_2024,Total_Revenue_2023,Total_Expenses_2023,Annual_Surplus_Deficit_2023
General government,8122,1063,7059,7139,1062,6077
Protection to persons and property,464,2452,-1988,440,2241,-1801
Transportation,2644,4460,-1816,2234,4074,-1840
Environmental,1959,1176,783,1931,1143,788
Health,394,577,-183,363,612,-249
Social and family,3119,3678,-559,2974,3570,-596
Social housing,716,1322,-606,611,1068,-457
Recreation and cultural,599,1239,-640,392,1137,-745
Planning and development,185,219,-34,241,168,73
Consolidated,18202,16186,2016,16325,15075,1250
