Category,Opening_2024,Additions_2024,Recognized_Income_2024,Ending_2024,Opening_2023,Additions_2023,Recognized_Income_2023,Ending_2023
Development charges,3108,944,-1209,2843,2714,1854,-1460,3108
Water/wastewater capital payments,1375,1069,-838,1606,1211,1083,-919,1375
Parkland acquisitions/development,997,219,-251,965,878,276,-157,997
Section 37/45 of Planning Act,615,120,-37,698,517,120,-22,615
Toronto-Ontario New Deal,0,594,-358,236,0,0,0,0
Building Code Act service improvement,230,21,-18,233,220,31,-21,230
Rapid Housing Initiative,235,6,-62,179,131,203,-99,235
Advance payments for building permits,146,122,-117,151,158,109,-121,146
Community and Social Services programs,411,5709,-5983,137,87,7077,-6753,411
Canada Community-Building Fund,16,478,-491,3,167,352,-503,16
Other,377,1483,-1067,793,381,923,-927,377
Total,7552,10846,-10507,7891,6464,12019,-10931,7552
